"name","LineRate"
"BoardGameHub.Api.Hubs.AdminHub/<SetHostPlayer>d__4","0"
"BoardGameHub.Api.Hubs.GameHub/<LeaveRoom>d__48","0"
"BoardGameHub.Api.Hubs.GameHub/<JoinRoom>d__19","0"
"BoardGameHub.Api.Hubs.GameHub/<NextRound>d__43","0"
"BoardGameHub.Api.Hubs.GameHub/<OnDisconnectedAsync>d__59","0"
"BoardGameHub.Api.Hubs.GameHub/<NextWisecrackBattle>d__39","0"
"BoardGameHub.Api.Hubs.GameHub/<EndRound>d__42","0"
"BoardGameHub.Api.Hubs.GameHub/<EndGame>d__10","0"
"BoardGameHub.Api.Hubs.GameHub/<ForcePictophoneNext>d__29","0"
"BoardGameHub.Api.Hubs.GameHub/<GetPublicRooms>d__18","0"
"BoardGameHub.Api.Hubs.GameHub/<GetGameHistory>d__2","0"
"BoardGameHub.Api.Hubs.GameHub/<UniversalTranslatorVote>d__52","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitClue>d__24","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitBreakingNewsSlot>d__26","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitGreatMindsCard>d__57","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitGuess>d__25","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitGreatMindsSync>d__58","0"
"BoardGameHub.Api.Hubs.GameHub/<SymbologyPlaceMarker>d__49","0"
"BoardGameHub.Api.Controllers.AdminController/CreateRoomAuth","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitAction>d__3","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitWisecrackVote>d__38","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitAnswers>d__23","0"
"BoardGameHub.Api.Hubs.SocialHub/<SendGlobalMessage>d__3","0"
"BoardGameHub.Api.Hubs.SocialHub/<SendMessage>d__2","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitPoppycockVote>d__41","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitSushiTrainSelection>d__55","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitUndoVote>d__17","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitWisecrackAnswer>d__37","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitPictophoneDraft>d__28","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitPictophonePage>d__27","0"
"BoardGameHub.Api.Controllers.AdminController","0"
"BoardGameHub.Api.Hubs.GameHub/<SubmitPoppycockDefinition>d__40","0"
"BoardGameHub.Api.Controllers.AdminController/<StartGame>d__14","0"
"BoardGameHub.Api.Hubs.GameHub/<UniversalTranslatorPickWord>d__54","0"
"BoardGameHub.Api.Hubs.SocialHub/<SendFriendRequest>d__4","0"
